,Compound_Score,Date,Followers,Negative_Score,Neutral_Score,Positive_Score,Screen_Name,Tweet_Text
88,0.1027,Mon Jan 22 11:16:22 +0000 2018,36868459,0.13,0.688,0.181,BBC Breaking News,Ejector seat firm admits health &amp; safety breach after Red Arrows pilot died when ejected from jet on ground in 2011 https://t.co/Os4Y0PlKgJ
89,0.2263,Sun Jan 21 17:03:56 +0000 2018,36868459,0.192,0.621,0.186,BBC Breaking News,UKIP's ruling body unanimously backs vote of no confidence in leader Henry Bolton https://t.co/62OzIodMK6
90,-0.7783,Sun Jan 21 16:03:02 +0000 2018,36868459,0.286,0.714,0.0,BBC Breaking News,"Eight-year-old girl who was stabbed to death in Brownhills near Walsall, named as Mylee Billingham by West Midlands… https://t.co/dftLWfSE61"
91,-0.7717,Sun Jan 21 14:42:24 +0000 2018,36868459,0.295,0.705,0.0,BBC Breaking News,"Fourteen foreigners and four Afghans now known to have died in Kabul hotel attack, Afghan officials say https://t.co/PasFtvwodn"
92,0.0,Sun Jan 21 10:35:19 +0000 2018,36868459,0.0,1.0,0.0,BBC Breaking News,"RT @BBCSport: Watford have sacked manager Marco Silva.

More to follow: https://t.co/LmVPkBkvxf https://t.co/zI7NtN1rGu"
93,-0.872,Sun Jan 21 09:34:04 +0000 2018,36868459,0.398,0.602,0.0,BBC Breaking News,"Man, 54, arrested after eight-year-old girl stabbed to death in Brownhills, near Walsall, say West Midlands Police https://t.co/CCLZRSMtJ1"
94,-0.1779,Sun Jan 21 05:20:43 +0000 2018,36868459,0.168,0.703,0.13,BBC Breaking News,"Kabul attack: Security forces regain control of hotel after deadly 12-hour siege, officials say https://t.co/yNUo87AVQe"
95,-0.8225,Sun Jan 21 04:45:55 +0000 2018,36868459,0.309,0.691,0.0,BBC Breaking News,"Kabul hotel attack: At least five people killed and six wounded as siege continues, Afghan interior ministry says https://t.co/dmiOvQhV7k"
96,-0.4767,Sat Jan 20 17:19:02 +0000 2018,36868459,0.181,0.819,0.0,BBC Breaking News,Kabul's Intercontinental Hotel under attack by at least four gunmen - reports quoting Afghan officials https://t.co/FgQuvhgUt3
97,-0.5423,Sat Jan 20 05:00:58 +0000 2018,36868459,0.209,0.791,0.0,BBC Breaking News,"US government shuts down, putting thousands of workers on unpaid leave, after Congress failed to pass stopgap budget https://t.co/RhvZL8aNRP"
98,-0.5267,Sat Jan 20 03:35:49 +0000 2018,36868459,0.216,0.784,0.0,BBC Breaking News,"US government shutdown looms, after Senate fails to pass short-term budget bill 90 minutes before midnight deadline https://t.co/yrFeILDk7f"
99,0.5267,Fri Jan 19 11:22:50 +0000 2018,36868459,0.0,0.848,0.152,BBC Breaking News,"My decision does not mean that others ""are precluded from taking action"" - Justice Secretary David Gauke on John Wo… https://t.co/SeshDy5jVZ"
